"","V1","V2","V3","V4"
"X[[i]]","[家教] 台北市古亭國中_高中英文","Sun May 31 20:37:28 2015","<meta name=""description"" content=""1.對象: 小六升國一男&#10;2.地點: 台北市中華路二段。古亭國中旁 (捷運古亭站步行約10-15分鐘)&#10;3.科目：高中英文文法及閱讀（全程英文上課）&#10;4.上課時間：每週五（20:00-21:00）或週日（10:00-11:00）&#10;5.時薪：$300～$500&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433075851.A.87A.html"
"X[[i]]","[上台] 新北市三重區徵國中數學、英文老師","Sun May 31 21:53:30 2015","<meta name=""description"" content=""1.對象: 小六升國一4個 男女都有，國一升國二1個 男&#10;2.地點: 新北市三重區頂崁街(二重國小門口對面)&#10;3.科目：國中數學、國中英文&#10;4.補習班名稱:文揚文理補習班&#10;5.上課時間：數學為6/26開始  每週五晚上6:30 - 9:00&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433080414.A.F6C.html"
"X[[i]]","[家教] 新北市五股 英文","Sun May 31 22:16:06 2015","<meta name=""description"" content=""1.對象:28歲 女生&#10;2.地點:成泰路四段小7(可談)&#10;3.科目：英文&#10;4.上課時間：可談&#10;5.時薪：1hr/400&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433081769.A.F82.html"
"X[[i]]","[家教] 樹林國二理化家教","Sun May 31 22:19:20 2015","<meta name=""description"" content=""1.對象:國二男生&#10;2.地點: 樹林篤行路&#10;3.科目：國中理化進度+總複習&#10;4.上課時間：可跟家長協調&#10;5.時薪：300-400&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433081962.A.B40.html"
"X[[i]]","[家教] 新北市野柳 國二國一數理科","Mon Jun  1 00:28:46 2015","<meta name=""description"" content=""1.對象:升國三女(姊姊),升國二男(弟弟)&#10;2.地點: 新北市 野柳社區&#10;3.科目：家教以數學&amp;自然科為主&#10;4.上課時間：七月開始 一,三,四，選兩天晚上(一次2~3小時)&#10;            (暑假時間可跟家長協商)&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433089728.A.56D.html"
"X[[i]]","[家教]","Mon Jun  1 00:57:20 2015","<meta name=""description"" content=""1.對象: 30,女&#10;2.地點: 竹北火車站旁，步行5-7分鐘&#10;可 面授/Skype 並行&#10;3.科目：英文聽說(旅遊/商旅)&#10;4.上課時間：&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433091443.A.95E.html"
"X[[i]]","[家教] 新北板橋 會計相關","Mon Jun  1 13:06:24 2015","<meta name=""description"" content=""1.對象: 33 女&#10;2.地點: 板橋新埔&#10;3.科目：會計相關&#10;4.上課時間：平日下午或晚上，可談&#10;5.時薪：500-900&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433135186.A.19B.html"
"X[[i]]","[討論] 台北語文家教行情","Mon Jun  1 14:11:36 2015","<meta name=""description"" content=""請問目前在台北市請英文和西班牙文家教&#10;時薪要開多少才合理呢?&#10;學生是社會人士 27歲男生&#10;英文要求全英文上課&#10;西文則是從字母發音開始學&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433139098.A.7AF.html"
"X[[i]]","[上台] 台中市西區 高中數學","Mon Jun  1 18:28:50 2015","<meta name=""description"" content=""1.對象:高一升高二5名，有男有女&#10;2.地點:台中西區三民路一段125-8號&#10;3.科目：數學科&#10;4.補習班名稱:新狀元文理補習班&#10;5.上課時間：每星期六9:00-12:10&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433154533.A.E84.html"
"X[[i]]","[家教] 新北市汐止 高中數學物理","Mon Jun  1 19:13:05 2015","<meta name=""description"" content=""1.對象: 高二生，女&#10;2.地點: 福德路一段，北峰國小附近或南港展覽館附近&#10;3.科目：高中數學、物理&#10;4.上課時間：一、二、三晚上，六早上&#10;5.時薪：500~1000元/hr&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433157188.A.3C3.html"
"X[[i]]","[上台] 嘉義市 國中英文","Mon Jun  1 19:53:59 2015","<meta name=""description"" content=""1.對象: 國中二、三年級&#10;2.地點: 嘉義市德安路140號&#10;3.科目：國中英文&#10;4.補習班名稱:力學文理補習班(因搬家重新立案中)&#10;5.上課時間：今年七月~九月開始上課，時段面議&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433159641.A.804.html"
"X[[i]]","[上台] 新北市三重區徵兒美老師","Mon Jun  1 20:52:12 2015","<meta name=""description"" content=""1.對象: 大班~小四(約10~11人)&#10;2.地點: 新北市三重區(目前是在新興街，之後會搬到二重國小附近的忠孝路)&#10;3.科目：英文&#10;4.補習班名稱:重愛幼兒園&#10;5.上課時間：三 五 下午4:30~6:00&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433163135.A.E91.html"
"X[[i]]","[仲介] 全國TOP家教中心 6.1更新","Mon Jun  1 22:33:59 2015","<meta name=""description"" content=""若要接家教案件 請到下列網址登錄：&#10;因為不明原因，當您點擊下列網址&#10;極有可能出現亂碼，&#10;導致網頁無法開啟&#10;若出現此種情況，&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433169242.A.326.html"
"X[[i]]","[家教] 不限地區  電機生醫論文撰寫指導","Mon Jun  1 23:10:41 2015","<meta name=""description"" content=""1.對象: 社會人士&#10;2.地點: 不限(能在南部更好)  網路聯繫&#10;3.科目：電機生醫領域論文撰寫&#10;4.上課時間：私信聯繫&#10;5.時薪：600元/小時或論件計酬(整份論文約七頁，英文撰寫)&#10;""/>","https://www.ptt.cc/bbs/HomeTeach/M.1433171445.A.E10.html"
